geonameid	name	lat	lon	feature_code	admin1	admin2	population	timezone	modified
452949	Udomlya	57.87597	35.00702	PPLA2	77		32373	Europe/Moscow	2023-05-10
461698	Sosnovka	60.01667	30.35	PPLX	66		66227	Europe/Moscow	2025-02-02
461699	Sasovo	54.35369	41.91986	PPLA2	62		29858	Europe/Moscow	2023-06-14
461740	Zyuzino	55.65608	37.56846	PPLX	48		121000	Europe/Moscow	2013-04-02
461835	Zyablikovo	55.61667	37.76667	PPLX	48	490025	129000	Europe/Moscow	2016-04-01
461863	Zvony	56.62409	28.81604	PPLA3	60		0	Europe/Moscow	2017-05-07
461910	Zverevo	48.02708	40.12305	PPLA2	61		24978	Europe/Moscow	2024-09-12
461916	Zvenigovo	55.97484	48.0178	PPLA2	45		12484	Europe/Moscow	2023-12-11
461964	Zuyevka	58.40244	51.13227	PPLA2	33		11953	Europe/Kirov	2024-01-09
462008	Zubtsov	56.17533	34.58935	PPLA2	77		7397	Europe/Moscow	2023-05-11
462050	Zubova Polyana	54.07813	42.83645	PPLA2	46		10119	Europe/Moscow	2024-05-14
462169	Zolotukhino	52.08706	36.37896	PPLA2	41		4886	Europe/Moscow	2023-10-06
462305	Znamenskoye	53.27644	35.6845	PPLA2	56		1950	Europe/Moscow	2023-05-11
462313	Znamenskoye	43.67669	45.12751	PPLA2	12	523654	9641	Europe/Moscow	2023-12-11
462357	Znamenka	52.41836	41.43166	PPLA2	72		8915	Europe/Moscow	2024-04-20
462377	Zmiyëvka	52.66568	36.37741	PPLA2	56		6288	Europe/Moscow	2023-05-11
462413	Zlynka	52.42679	31.73859	PPLA2	10		5260	Europe/Moscow	2023-04-05
462444	Zlatoust	55.17182	59.65471	PPLA2	13		191366	Asia/Yekaterinburg	2025-02-18
462522	Zimovniki	47.14623	42.47044	PPLA2	61		17678	Europe/Moscow	2024-09-12
462626	Zilair	52.23287	57.44175	PPLA2	08		5872	Asia/Yekaterinburg	2024-12-12
462745	Zhulebino	55.7	37.85	PPLX	48		150000	Europe/Moscow	2014-02-06
462755	Zhukovsky	55.59528	38.12028	PPL	47		97200	Europe/Moscow	2023-05-29
462792	Zhukov	55.02381	36.7422	PPLA2	25		12300	Europe/Moscow	2023-05-11
462822	Zhukovka	53.53381	33.73075	PPLA2	10		19690	Europe/Moscow	2023-04-05
462914	Zhizdra	53.74596	34.73951	PPLA2	25		5737	Europe/Moscow	2023-05-11
462964	Zhiryatino	53.22659	33.72612	PPLA2	10		2324	Europe/Moscow	2023-04-05
462984	Zhirnovsk	50.97879	44.77894	PPLA2	84		17887	Europe/Volgograd	2024-09-12
463082	Zhigulëvsk	53.40332	49.51055	PPLA2	65		57094	Europe/Samara	2025-07-16
463217	Zherdevka	51.85429	41.45488	PPLA2	72		16019	Europe/Moscow	2024-04-20
463340	Zheleznovodsk	44.14318	43.00475	PPLA2	70		24632	Europe/Moscow	2024-01-09
463343	Zheleznogorsk	52.34198	35.35917	PPLA2	41		97900	Europe/Moscow	2023-10-06
463355	Zheleznodorozhnyy	55.744	38.01684	PPL	47	579462	141648	Europe/Moscow	2016-04-11
463516	Zharkovskiy	55.84907	32.267	PPLA2	77		4833	Europe/Moscow	2023-05-11
463637	Zernograd	46.84862	40.31164	PPLA2	61		29268	Europe/Moscow	2024-09-12
463824	Zelenokumsk	44.41044	43.88007	PPLA2	70		41306	Europe/Moscow	2024-01-09
463828	Zelenogradsk	54.95893	20.47668	PPLA2	23	463825	15644	Europe/Kaliningrad	2021-09-07
463829	Zelenograd	55.9825	37.18139	PPL	48		215727	Europe/Moscow	2023-07-08
463835	Zelenodolsk	55.84376	48.51784	PPL	73	Zelenodol'skiy Rayon	99600	Europe/Moscow	2019-09-05
463885	Zelenchukskaya	43.85495	41.59019	PPLA2	27		21117	Europe/Moscow	2024-01-09
464071	Zav’yalovo	56.79196	53.37612	PPLA2	80		0	Europe/Samara	2024-02-08
464112	Zavolzhsk	57.48198	42.13821	PPLA2	21		12847	Europe/Moscow	2023-11-07
464179	Zavetnoye	47.11894	43.88945	PPLA2	61		6711	Europe/Moscow	2024-09-12
464625	Zarechnyy	53.20356	45.19227	PPL	57		63579	Europe/Moscow	2012-01-17
464687	Zaraysk	54.76327	38.88076	PPLA2	47		24637	Europe/Moscow	2023-07-11
464891	Zapadnaya Dvina	56.25901	32.07454	PPLA2	77		9962	Europe/Moscow	2023-05-11
464993	Zaokskiy	54.73028	37.39729	PPLA2	76		6480	Europe/Moscow	2023-05-11
465057	Zamoskvorech’ye	55.73333	37.63333	PPLX	48		55000	Europe/Moscow	2014-02-06
465174	Zalukokoazhe	43.90063	43.2143	PPLA2	22	462156	9997	Europe/Moscow	2024-01-09
465291	Zalegoshch’	52.89907	36.88961	PPLA2	56		5925	Europe/Moscow	2023-05-11
465446	Zakharovo	54.36821	39.27678	PPLA2	62		2882	Europe/Moscow	2023-06-14
465726	Zadonsk	52.3904	38.9261	PPLA2	43		10326	Europe/Moscow	2023-12-11
466060	Yuzhno-Sukhokumsk	44.66033	45.6475	PPLA2	17	830816	10665	Europe/Moscow	2024-02-25
466084	Yuzha	56.58374	42.01177	PPLA2	21		14678	Europe/Moscow	2023-11-07
466119	Yus’va	58.96521	54.96012	PPLA2	90		0	Asia/Yekaterinburg	2024-05-14
466215	Yur’yev-Pol’skiy	56.5046	39.67931	PPLA2	83		19906	Europe/Moscow	2023-09-06
466258	Yur’yevets	57.31213	43.10395	PPLA2	21		11488	Europe/Moscow	2023-11-07
466271	Yur’ya	59.04453	49.27533	PPLA2	33		0	Europe/Kirov	2024-01-09
466349	Yurla	59.32379	54.32209	PPLA2	90		4058	Asia/Yekaterinburg	2024-05-14
466423	Yurino	56.29441	46.30198	PPLA2	45		4199	Europe/Moscow	2023-12-11
466658	Yukhnov	54.74403	35.23233	PPLA2	25		7934	Europe/Moscow	2023-05-11
466674	Yukamenskoye	57.8878	52.245	PPLA2	80		4278	Europe/Samara	2024-02-08
466806	Yoshkar-Ola	56.63877	47.89078	PPLA	45		268272	Europe/Moscow	2022-08-18
466885	Yeysk	46.69263	38.27907	PPLA2	38		87814	Europe/Moscow	2024-09-12
466989	Yessentukskaya	44.02583	42.87491	PPLA2	70		19956	Europe/Moscow	2024-01-09
466990	Yessentuki	44.04826	42.85638	PPLA2	70		81015	Europe/Moscow	2024-01-09
467120	Yershov	51.35595	48.27269	PPLA2	67		23681	Europe/Saratov	2025-07-16
467134	Yershichi	53.6727	32.75484	PPLA2	69		3239	Europe/Moscow	2023-02-10
467246	Yermolayevo	52.70438	55.8206	PPLA2	08		6354	Asia/Yekaterinburg	2024-12-12
467252	Yermish’	54.76847	42.26738	PPLA2	62		4598	Europe/Moscow	2023-06-14
467260	Yermekeyevo	54.07262	53.6749	PPLA2	08		4214	Asia/Yekaterinburg	2024-12-12
467479	Yenotayevka	47.24332	47.02898	PPLA2	07		7985	Europe/Astrakhan	2024-01-09
467525	Yemva	62.5879	50.8634	PPLA2	34		16404	Europe/Moscow	2024-05-14
467711	Yelovo	57.05226	54.92049	PPLA2	90		5570	Asia/Yekaterinburg	2024-05-14
467753	Yel’nya	54.57735	33.18474	PPLA2	69		10050	Europe/Moscow	2023-02-10
467761	Yel’niki	54.62069	43.88242	PPLA2	46		0	Europe/Moscow	2024-05-14
467819	Yelkhovka	53.8669	50.28437	PPLA2	65		3142	Europe/Samara	2025-07-16
467978	Yelets	52.61435	38.50935	PPLA2	43		115688	Europe/Moscow	2023-12-11
468063	Yelan’	50.9488	43.73709	PPLA2	84		15181	Europe/Volgograd	2024-09-12
468082	Yelabuga	55.76232	52.04425	PPLA2	73		72643	Europe/Moscow	2025-09-09
468180	Yekaterinovka	52.04915	44.34624	PPLA2	67		6435	Europe/Saratov	2025-07-16
468250	Yegor’yevsk	55.37952	39.04122	PPLA2	47		85200	Europe/Moscow	2023-07-11
468307	Yegorlykskaya	46.56587	40.6571	PPLA2	61		17978	Europe/Moscow	2024-09-12
468390	Yefremov	53.13762	38.11856	PPLA2	76		45497	Europe/Moscow	2023-05-11
468484	Yazykovo	54.69178	55.0099	PPLA2	08		0	Asia/Yekaterinburg	2024-12-12
468657	Yasnyy	51.03534	59.87234	PPLA2	55		17359	Asia/Yekaterinburg	2024-11-12
468671	Yasnogorsk	54.48091	37.6982	PPLA2	76		18022	Europe/Moscow	2023-05-11
468747	Yashkul’	46.1709	45.34213	PPLA2	24		7203	Europe/Moscow	2024-08-11
468776	Yashalta	46.33849	42.27268	PPLA2	24		4723	Europe/Moscow	2024-08-11
468809	Yasenevo	55.60686	37.51991	PPLX	48		180000	Europe/Moscow	2021-01-26
468866	Yartsevo	55.06491	32.69693	PPLA2	69		52706	Europe/Moscow	2023-02-10
468902	Yaroslavl	57.62987	39.87368	PPLA	88		608722	Europe/Moscow	2025-06-21
468921	Yaroslavichi	60.49275	34.50806	PPLA3	42		200	Europe/Moscow	2017-02-19
468983	Yarensk	62.17359	49.0978	PPLA2	06		3929	Europe/Moscow	2024-02-08
469005	Yaransk	57.30496	47.87387	PPLA2	33		19557	Europe/Kirov	2024-01-09
469017	Yar	58.2458	52.1054	PPLA2	80		7122	Europe/Samara	2024-02-08
469178	Yanaul	56.27233	54.92964	PPLA2	08		27963	Asia/Yekaterinburg	2024-12-12
469470	Yakshur-Bod’ya	57.184	53.16117	PPLA2	80		0	Europe/Samara	2024-02-08
470212	Vysokaya Gora	55.90988	49.31343	PPLA2	73		8013	Europe/Moscow	2025-09-09
470252	Vyshniy Volochëk	57.5888	34.56854	PPLA2	77		53800	Europe/Moscow	2023-05-11
470338	Vyselki	45.58058	39.65741	PPLA2	38		18746	Europe/Moscow	2024-09-12
470437	Vyl’gort	61.62423	50.75724	PPLA2	34		0	Europe/Moscow	2024-05-14
470444	Vyksa	55.32058	42.17402	PPLA2	51		61664	Europe/Moscow	2023-12-11
470451	Vykhino-Zhulebino	55.70196	37.81178	PPLX	48		216000	Europe/Moscow	2014-02-06
470473	Vygonichi	53.09978	34.06741	PPLA2	10		5086	Europe/Moscow	2023-04-05
470546	Vyborg	60.70763	28.75283	PPLA2	42		78633	Europe/Moscow	2026-02-26
470666	Vyazniki	56.24227	42.14911	PPLA2	83		39243	Europe/Moscow	2023-09-06
470676	Vyaz’ma	55.20997	34.29695	PPLA2	69		55500	Europe/Moscow	2023-02-10
470734	Vyatskiye Polyany	56.22912	51.06098	PPLA2	33		39534	Europe/Kirov	2024-01-09
470905	Vuktyl	63.8478	57.30987	PPLA2	34		13693	Europe/Moscow	2024-05-14
471172	Voznesenskoye	54.88979	42.75703	PPLA2	51	471173	6252	Europe/Moscow	2023-12-11
471430	Votkinsk	57.04867	53.9872	PPLA2	80		98633	Europe/Samara	2025-02-10
471607	Voskresenskoye	56.83816	45.4322	PPLA2	51	471642	6028	Europe/Moscow	2023-12-11
471639	Voskresenskoye	51.82194	46.93614	PPLA2	67		3211	Europe/Saratov	2025-07-16
471656	Voskresensk	55.313	38.691	PPLA2	47		77086	Europe/Moscow	2025-09-08
471799	Vorotynets	56.061	45.86522	PPLA2	51	471793	6151	Europe/Moscow	2023-12-11
472045	Voronezh	51.66833	39.19204	PPLA	86		1047549	Europe/Moscow	2025-09-09
472072	Altuf’yevskiy	55.88333	37.58333	PPLX	48		54000	Europe/Moscow	2014-02-06
472113	Vorobyovka	50.6481	40.95028	PPLA2	86		0	Europe/Moscow	2022-07-24
472231	Volzhsky	48.78583	44.77973	PPL	84		323293	Europe/Volgograd	2022-10-05
472234	Volzhsk	55.86661	48.35931	PPLA2	45		58000	Europe/Moscow	2023-12-11
472278	Vol’sk	52.04172	47.38267	PPLA2	67		70500	Europe/Saratov	2025-07-16
472306	Volovo	52.02684	37.88204	PPLA2	43		4036	Europe/Moscow	2023-12-11
472328	Volot	57.92778	30.7025	PPLA2	52	472321	2276	Europe/Moscow	2023-09-16
472428	Volokonovka	50.48504	37.86093	PPLA2	09		12413	Europe/Moscow	2024-10-11
