field name;english description;russian description;format
TER;region code;Код региона;varchar(2)
KOD1;area code/city MO;Код муниципального округа/муниципального района/городского округа;varchar(3)
KOD2;the code settlement;Код городского/сельского поселения;varchar(3)
KOD3;code locality;Код населенного пункта;varchar(3)
KC;check number;контрольное число;numeric(1)
RAZDEL;code section;Код раздела;varchar(1)
NAME1;the name of the site;Наименование территории;varchar(500)
Centrum;additional information;Дополнительная информация;varchar(250)
NomDescr;Description;Описание;varchar(8000)
NomAkt;Change number;Номер изменения;numeric(3)
Status;Change type 0 — initial object upload, 2 — object attribute changed (except code), 3 — object enabled;Тип изменения 0 —  начальная загрузка объекта, 2 —  у объекта изменён реквизит (кроме кода), 3 – объект включён;numeric(1)
DateUtv;Acceptance date;Дата принятия;date(10)
DateVved;Initiation date;Дата введения;date(10)
